source,target,correlation,abs_correlation,pairwise_n,p_value,sign
T03,V09,0.18194961135783513,0.18194961135783513,91,0.08432319516268691,positive
E11,V05,0.18139018031892956,0.18139018031892956,91,0.08529849268760456,positive
E14,S08,-0.1811943960840869,0.1811943960840869,91,0.08564192794151745,negative
T08,V11,0.18115422712889853,0.18115422712889853,91,0.08571252601935017,positive
T02,S15,0.18091635025207303,0.18091635025207303,91,0.08613154944430194,positive
E01,S07,0.18063239164657438,0.18063239164657438,91,0.08663387463441719,positive
E14,V14,-0.18052126009805017,0.18052126009805017,91,0.08683109926199878,negative
T01,S14,-0.18040947673487007,0.18040947673487007,91,0.08702983994681268,negative
V08,V13,0.17963198985533643,0.17963198985533643,91,0.08842214437736935,positive
T11,S10,0.17933819462657494,0.17933819462657494,91,0.08895283780295755,positive
T05,T07,0.1791952406208687,0.1791952406208687,91,0.08921197176401308,positive
T01,E06,0.1790306589431001,0.1790306589431001,91,0.08951105021459062,positive
V02,V11,0.17892460445860803,0.17892460445860803,91,0.08970419294607301,positive
V05,V12,0.1788018546078929,0.1788018546078929,91,0.08992815233868949,positive
T03,V02,0.17879003902405177,0.17879003902405177,91,0.08994973341435845,positive
S08,V13,-0.1786303143136898,0.1786303143136898,91,0.09024187171047517,negative
T09,T12,-0.17846590049865552,0.17846590049865552,91,0.09054336982032522,negative
E09,V11,-0.17826833272880274,0.17826833272880274,91,0.09090671796213573,negative
S06,V10,0.17817444712290506,0.17817444712290506,91,0.09107978713006404,positive
E10,V01,0.1777560937260769,0.1777560937260769,91,0.09185414970757198,positive
T06,E05,-0.1776451239210373,0.1776451239210373,91,0.09206042242535738,negative
T05,T08,0.17759257132190143,0.17759257132190143,91,0.09215823571385852,positive
T02,V05,-0.1774678522051617,0.1774678522051617,91,0.09239069707711607,negative
T06,V08,-0.17746245566329066,0.17746245566329066,91,0.09240076601737954,negative
T10,S09,-0.17723147377667253,0.17723147377667253,91,0.09283254774674568,negative
T11,V01,-0.17721110664959824,0.17721110664959824,91,0.09287069691714787,negative
T14,V15,-0.1762116995553524,0.1762116995553524,91,0.09475790645196534,negative
T09,V06,-0.1761149811087375,0.1761149811087375,91,0.09494213427951108,negative
T01,S06,-0.1760079019211781,0.1760079019211781,91,0.09514642599063548,negative
S12,V13,-0.17568084262116265,0.17568084262116265,91,0.09577255187547859,negative
T13,V10,0.17539814342612944,0.17539814342612944,91,0.09631636287273111,positive
T06,V05,0.1753639067046196,0.1753639067046196,91,0.0963823864883889,positive
E11,V14,0.17484734680746186,0.17484734680746186,91,0.09738286974755721,positive
T03,E11,0.17474390333135864,0.17474390333135864,91,0.09758419833126594,positive
S01,S02,0.17434437171991177,0.17434437171991177,91,0.09836486537693302,positive
T07,T09,0.1736046676799678,0.1736046676799678,91,0.09982314775658632,positive
S10,V03,-0.17312884808727358,0.17312884808727358,91,0.10077011987806188,negative
V02,V04,0.17295323210748148,0.17295323210748148,91,0.10112140187616886,positive
T15,E03,0.17252584482656072,0.17252584482656072,91,0.10198030478788582,positive
S15,V03,0.17251102180259134,0.17251102180259134,91,0.10201019612079328,positive
E07,S07,-0.17222549761499537,0.17222549761499537,91,0.10258730802896363,negative
V05,V14,0.1721338898856551,0.1721338898856551,91,0.10277300892615227,positive
T14,V02,0.17139341033869462,0.17139341033869462,91,0.10428372223538893,positive
T05,E05,-0.17092100866632004,0.17092100866632004,91,0.10525653068382793,negative
T08,T11,0.17080076336409392,0.17080076336409392,91,0.10550527652099069,positive
T12,V10,0.1703582465410945,0.1703582465410945,91,0.10642464044843047,positive
E03,E11,-0.170171416165603,0.170171416165603,91,0.1068146646905625,negative
S02,V07,-0.1701455686238492,0.1701455686238492,91,0.10686871118978267,negative
E05,S02,-0.17008753277667132,0.17008753277667132,91,0.10699014016048952,negative
T04,V06,-0.1700352457333901,0.1700352457333901,91,0.10709963285120039,negative
E14,V08,-0.1696230864072123,0.1696230864072123,91,0.1079657807876049,negative
E06,E08,0.16942497624137415,0.16942497624137415,91,0.10838404199697131,positive
E11,S04,-0.16931931398893768,0.16931931398893768,91,0.10860763684869518,negative
E05,S05,0.16929651326695808,0.16929651326695808,91,0.1086559331210759,positive
E02,S15,-0.1691324351230611,0.1691324351230611,91,0.10900397460395538,negative
S13,S14,0.1690813945367424,0.1690813945367424,91,0.10911241811963841,positive
T08,E01,-0.16873404704902434,0.16873404704902434,91,0.10985263976134033,negative
E07,S06,0.1687011865686315,0.1687011865686315,91,0.10992286922528288,positive
E01,E06,0.16852635035449273,0.16852635035449273,91,0.11029711602335807,positive
E04,E07,0.1683080395561356,0.1683080395561356,91,0.1107658108366447,positive
T03,E13,-0.16827953135863064,0.16827953135863064,91,0.11082712947369441,negative
S02,V11,-0.16814487073363615,0.16814487073363615,91,0.11111712891457534,negative
E14,S14,-0.1680154204023093,0.1680154204023093,91,0.11139646245074579,negative
E06,E13,0.16788853109660354,0.16788853109660354,91,0.11167079808513046,positive
E15,V05,0.16781707167696713,0.16781707167696713,91,0.11182552436015276,positive
T04,S13,0.16753682751832355,0.16753682751832355,91,0.1124339230811533,positive
T07,T14,0.16709746025479108,0.16709746025479108,91,0.11339293166976222,positive
T01,E10,-0.1669354938889465,0.1669354938889465,91,0.11374804984773453,negative
T06,E13,-0.16669454269533357,0.16669454269533357,91,0.11427793795294794,negative
V04,V08,0.16524551251291011,0.16524551251291011,91,0.1175049517553956,positive
E09,S01,0.16510089587679627,0.16510089587679627,91,0.11783083517054149,positive
E04,V09,0.1650982294470706,0.1650982294470706,91,0.117836850320559,positive
E09,S08,0.16503659692410622,0.16503659692410622,91,0.11797595201631521,positive
S02,V02,-0.16491967281800074,0.16491967281800074,91,0.1182401921660133,negative
E12,E14,0.16481884152909088,0.16481884152909088,91,0.11846842992334418,positive
T06,T15,0.16476842822592047,0.16476842822592047,91,0.1185826707753264,positive
S06,V14,0.1645663395412906,0.1645663395412906,91,0.11904147359705236,positive
S02,S03,0.16427385215769075,0.16427385215769075,91,0.11970792963329771,positive
T12,E13,-0.16397464081853497,0.16397464081853497,91,0.12039267582806085,negative
E10,S03,-0.1639285502499125,0.1639285502499125,91,0.12049842162782855,negative
T06,S11,-0.16377068497507252,0.16377068497507252,91,0.12086115430192525,negative
T09,V12,-0.16339786001550444,0.16339786001550444,91,0.12172114128178857,negative
E10,E14,0.16301585929420798,0.16301585929420798,91,0.12260716435218405,positive
E05,S03,-0.16263445683989505,0.16263445683989505,91,0.12349673314188055,negative
E14,S11,0.16250607380180226,0.16250607380180226,91,0.12379728051552663,positive
V07,V12,0.16178584978436839,0.16178584978436839,91,0.12549375483543648,positive
T05,S10,0.16139206501682377,0.16139206501682377,91,0.12642880756098696,positive
S14,V12,0.16096105904916896,0.16096105904916896,91,0.12745834562219407,positive
E09,E13,0.16077352247763388,0.16077352247763388,91,0.1279083082820143,positive
T11,S07,-0.1607382546264293,0.1607382546264293,91,0.12799306307899586,negative
V06,V08,0.16063818771257654,0.16063818771257654,91,0.12823377501680996,positive
T08,S09,-0.1602908746464052,0.1602908746464052,91,0.12907192463302572,negative
S10,V08,0.16026460529440886,0.16026460529440886,91,0.12913548864018948,positive
T07,V13,0.15982826335766742,0.15982826335766742,91,0.13019480539097977,positive
S13,V07,-0.1597466996910791,0.1597466996910791,91,0.13039355257229077,negative
T07,E09,-0.15951684990856,0.15951684990856,91,0.13095487528764663,negative
E04,V01,0.15934578011678685,0.15934578011678685,91,0.13137384406786,positive
E08,E12,0.15923970181141595,0.15923970181141595,91,0.13163415416142474,positive
V06,V13,0.15876214756803292,0.15876214756803292,91,0.1328109141588901,positive
E03,S12,-0.15844659603837694,0.15844659603837694,91,0.13359285906481017,negative
T13,V08,0.1580775174491106,0.1580775174491106,91,0.134511882752828,positive
S01,S08,0.15802804470384144,0.15802804470384144,91,0.1346354366002194,positive
S04,S11,-0.15790794289326937,0.15790794289326937,91,0.13493573913640766,negative
T05,V03,-0.15773251305333869,0.15773251305333869,91,0.13537529798353412,negative
E01,V07,0.1574673324911255,0.1574673324911255,91,0.1360418001594203,positive
T05,S08,-0.15732444510155372,0.15732444510155372,91,0.13640196287382514,negative
E08,V11,-0.15693138529258047,0.15693138529258047,91,0.13739644365115733,negative
E04,S06,0.15682073517859582,0.15682073517859582,91,0.13767738854479614,positive
T03,E01,-0.15677903665921497,0.15677903665921497,91,0.1377833755639201,negative
V08,V14,0.15675606791506475,0.15675606791506475,91,0.13784178266588584,positive
T05,E06,-0.15612879592305742,0.15612879592305742,91,0.139444131838233,negative
E06,S02,-0.15607926241621864,0.15607926241621864,91,0.13957126175587906,negative
E08,S14,0.1553193523739103,0.1553193523739103,91,0.14153261274357923,positive
T06,S01,-0.15525563341029985,0.15525563341029985,91,0.14169801453532338,negative
T11,S08,0.15521882842158832,0.15521882842158832,91,0.14179361947449923,positive
S05,V03,-0.1552066784126857,0.1552066784126857,91,0.1418251911287961,negative
S02,S08,0.1550010354553054,0.1550010354553054,91,0.14236035748752646,positive
T03,S05,0.15453484648566473,0.15453484648566473,91,0.1435792126342371,positive
S05,V08,-0.15427752115286048,0.15427752115286048,91,0.14425535333912762,negative
S08,V09,-0.15394020559144322,0.15394020559144322,91,0.1451453044346355,negative
E13,V10,-0.15385411854660144,0.15385411854660144,91,0.14537309154882583,negative
T04,S06,-0.15381796920182833,0.15381796920182833,91,0.14546882323476332,negative
T14,T15,0.15366356834730743,0.15366356834730743,91,0.14587824604930907,positive
E02,S13,-0.15360813672334134,0.15360813672334134,91,0.14602544471837742,negative
E05,E09,0.15350919112277642,0.15350919112277642,91,0.1462884724660426,positive
E11,S06,0.15348062841961602,0.15348062841961602,91,0.14636446713381943,positive
T13,S15,-0.1533899925564974,0.1533899925564974,91,0.14660581186465474,negative
V05,V13,0.15336116045468667,0.15336116045468667,91,0.14668264854834176,positive
T14,E02,0.15331894403161994,0.15331894403161994,91,0.14679520866754553,positive
S10,S13,0.1530153445562994,0.1530153445562994,91,0.1476065985343112,positive
V01,V10,-0.15265415372059768,0.15265415372059768,91,0.1485762886337523,negative
T01,T08,0.15260588425552515,0.15260588425552515,91,0.1487062392019527,positive
E03,S14,-0.15256599706023627,0.15256599706023627,91,0.14881368746879825,negative
T01,V05,-0.15255823620836878,0.15255823620836878,91,0.1488346004487317,negative
T06,E08,0.15248911845556637,0.15248911845556637,91,0.14902094769178348,positive
E08,E09,-0.1520038867167266,0.1520038867167266,91,0.15033410500811614,negative
S12,V09,-0.1518900127370459,0.1518900127370459,91,0.15064352895222172,negative
S04,S09,0.1517552035997015,0.1517552035997015,91,0.15101045553206968,positive
E01,V05,0.15136405303740477,0.15136405303740477,91,0.1520788872469521,positive
E09,S03,0.15127934539096954,0.15127934539096954,91,0.1523110104600671,positive
T08,V05,-0.15124230040561815,0.15124230040561815,91,0.15241260760821124,negative
E02,S06,-0.1510161338274703,0.1510161338274703,91,0.15303397721810233,negative
T12,E08,-0.15091213916724494,0.15091213916724494,91,0.1533203268863536,negative
E15,V01,0.15085013770410233,0.15085013770410233,91,0.15349123862468522,positive
T09,S04,-0.15065350911087774,0.15065350911087774,91,0.15403420222853315,negative
T08,E06,0.15061222054869525,0.15061222054869525,91,0.1541483971527543,positive
E07,V03,-0.15052966953079805,0.15052966953079805,91,0.1543769044113348,negative
T13,E09,0.15045837223791483,0.15045837223791483,91,0.15457446407018957,positive
E09,V09,-0.15037576081343526,0.15037576081343526,91,0.1548036104179955,negative
T14,E11,-0.14996853455572237,0.14996853455572237,91,0.15593687627627834,negative
E03,V08,-0.14987634805723526,0.14987634805723526,91,0.15619427795930593,negative
T08,S03,-0.149690584284103,0.149690584284103,91,0.1567139269372624,negative
T12,E12,-0.14966051410826908,0.14966051410826908,91,0.1567981652175616,negative
T07,V12,-0.14960811805335317,0.14960811805335317,91,0.1569450276139518,negative
E12,V06,-0.14949024316345466,0.14949024316345466,91,0.1572757971842407,negative
T01,V15,-0.1494035890530535,0.1494035890530535,91,0.15751928894022238,negative
E07,S09,0.14933766669748857,0.14933766669748857,91,0.15770471394631383,positive
S07,S11,0.1491617643218806,0.1491617643218806,91,0.15820028394608254,positive
E13,S02,0.14916070967393352,0.14916070967393352,91,0.15820325869917587,positive
T15,E05,-0.14898429754116732,0.14898429754116732,91,0.158701435178602,negative
S04,V02,-0.14860231069880844,0.14860231069880844,91,0.1597841400745093,negative
T03,S08,0.14852912483182068,0.14852912483182068,91,0.15999220367570022,positive
T09,E06,0.14852762571386008,0.14852762571386008,91,0.1599964676934894,positive
V07,V11,-0.14834552095344378,0.14834552095344378,91,0.16051506611048022,negative
T03,S03,-0.14827956991128696,0.14827956991128696,91,0.16070318936193692,negative
S02,S11,-0.1482508126946031,0.1482508126946031,91,0.16078526966357656,negative
S14,V09,0.1481713074659822,0.1481713074659822,91,0.1610123595496154,positive
T03,V14,-0.14815183615743166,0.14815183615743166,91,0.16106801151912598,negative
T04,E04,-0.14805051051827828,0.14805051051827828,91,0.16135784623067007,negative
S04,V15,0.14781521233020756,0.14781521233020756,91,0.16203239302466418,positive
E15,V14,0.14747738669566415,0.14747738669566415,91,0.1630045179635019,positive
T10,E01,-0.14744860998525053,0.14744860998525053,91,0.16308752504475818,negative
E03,V07,-0.14744044263288553,0.14744044263288553,91,0.1631110896674167,negative
T02,T09,-0.14736661862032666,0.14736661862032666,91,0.16332420283262292,negative
E07,E09,0.1470711223499316,0.1470711223499316,91,0.16417929978928553,positive
T13,V07,0.14683192436680048,0.14683192436680048,91,0.16487390724188644,positive
E02,S07,-0.14678519235813184,0.14678519235813184,91,0.16500986600265452,negative
T08,V03,-0.1467442382042209,0.1467442382042209,91,0.16512908328574977,negative
T07,V09,-0.14672672758516353,0.14672672758516353,91,0.1651800760334328,negative
E02,V08,-0.14652436273799826,0.14652436273799826,91,0.16577022918324463,negative
T02,S06,-0.1465119342663187,0.1465119342663187,91,0.1658065248808934,negative
E14,V12,-0.1464675428162748,0.1464675428162748,91,0.1659362121863053,negative
